"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-84.79","47.97","WAWA A","6059407","2018-09-05 06:00","2018","09","05","06:00","17.9","","17.9","","100","","","","9","","4","","3.2","","98.07","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-05 07:00","2018","09","05","07:00","18.1","","18.1","","100","","","","3","","5","","2.4","","98.01","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-05 08:00","2018","09","05","08:00","18.2","","18.2","","100","","","","5","","6","","1.2","","98.10","","","","","","Moderate Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-05 09:00","2018","09","05","09:00","18.6","","18.6","","100","","","","5","","5","","2.4","","98.04","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-05 10:00","2018","09","05","10:00","18.6","","18.6","","100","","","","5","","11","","9.7","","97.98","","","","","","Rain,Fog"
"-84.79","47.97","WAWA A","6059407","2018-09-05 11:00","2018","09","05","11:00","18.4","","18.3","","99","","","","3","","7","","19.3","","97.98","","","","","","Rain"
"-84.79","47.97","WAWA A","6059407","2018-09-05 12:00","2018","09","05","12:00","19.0","","18.8","","99","","","","30","","4","","24.1","","98.07","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-05 13:00","2018","09","05","13:00","20.0","","18.9","","93","","","","36","","7","","24.1","","98.12","","27","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-05 14:00","2018","09","05","14:00","17.4","","16.4","","94","","","","3","","13","","24.1","","98.22","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-05 15:00","2018","09","05","15:00","16.7","","15.6","","93","","","","36","","14","","24.1","","98.30","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-05 16:00","2018","09","05","16:00","16.9","","15.1","","88","","","","1","","9","","24.1","","98.33","","","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-05 17:00","2018","09","05","17:00","17.2","","15.5","","89","","","","36","","5","","20.9","","98.41","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-05 18:00","2018","09","05","18:00","16.9","","14.9","","88","","","","35","","7","","24.1","","98.50","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-05 19:00","2018","09","05","19:00","16.1","","13.9","","87","","","","36","","2","","24.1","","98.57","","","","","","Mostly Cloudy"
"-84.79","47.97","WAWA A","6059407","2018-09-05 20:00","2018","09","05","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 21:00","2018","09","05","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 22:00","2018","09","05","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-05 23:00","2018","09","05","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 00:00","2018","09","06","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 01:00","2018","09","06","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 02:00","2018","09","06","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 03:00","2018","09","06","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 04:00","2018","09","06","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 05:00","2018","09","06","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 06:00","2018","09","06","06:00","5.2","","5.2","","100","","","","20","","3","","24.1","","99.30","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 07:00","2018","09","06","07:00","6.1","","6.1","","100","","","","36","","1","","24.1","","99.37","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-06 08:00","2018","09","06","08:00","8.9","","7.8","","93","","","","33","","3","","24.1","","99.35","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 09:00","2018","09","06","09:00","12.6","","6.3","","65","","","","3","","7","","24.1","","99.39","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 10:00","2018","09","06","10:00","14.1","","5.0","","54","","","","36","","1","","24.1","","99.41","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-06 11:00","2018","09","06","11:00","15.1","","6.0","","54","","","","23","","5","","24.1","","99.43","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 12:00","2018","09","06","12:00","15.8","","5.5","","50","","","","25","","9","","24.1","","99.44","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 13:00","2018","09","06","13:00","15.8","","4.5","","47","","","","22","","17","","24.1","","99.42","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-06 14:00","2018","09","06","14:00","15.6","","5.9","","52","","","","23","","15","","24.1","","99.39","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 15:00","2018","09","06","15:00","15.7","","6.3","","53","","","","24","","16","","24.1","","99.33","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 16:00","2018","09","06","16:00","15.9","","6.8","","54","","","","24","","14","","24.1","","99.27","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-06 17:00","2018","09","06","17:00","15.4","","9.0","","65","","","","24","","16","","24.1","","99.22","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 18:00","2018","09","06","18:00","14.8","","9.8","","72","","","","23","","11","","24.1","","99.18","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-06 19:00","2018","09","06","19:00","13.5","","10.0","","79","","","","18","","11","","24.1","","99.17","","","","","","Mainly Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-06 20:00","2018","09","06","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 21:00","2018","09","06","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 22:00","2018","09","06","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-06 23:00","2018","09","06","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 00:00","2018","09","07","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 01:00","2018","09","07","01:00"
