"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 17:00","2020","01","03","17:00","","M","","M","","M","","","24","","8","","","","100.20","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 18:00","2020","01","03","18:00","","M","","M","","M","","","24","","11","","","","100.20","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 19:00","2020","01","03","19:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 20:00","2020","01","03","20:00","","M","","M","","M","","","28","","5","","","","100.23","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 21:00","2020","01","03","21:00","","M","","M","","M","","","27","","6","","","","100.23","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 22:00","2020","01","03","22:00","","M","","M","","M","","","25","","7","","","","100.24","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-03 23:00","2020","01","03","23:00","","M","","M","","M","","","28","","2","","","","100.25","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 00:00","2020","01","04","00:00","","M","","M","","M","","","24","","8","","","","100.26","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 01:00","2020","01","04","01:00","","M","","M","","M","","","23","","10","","","","100.21","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 02:00","2020","01","04","02:00","","M","","M","","M","","","23","","10","","","","100.17","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 03:00","2020","01","04","03:00","","M","","M","","M","","","28","","10","","","","100.19","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 04:00","2020","01","04","04:00","","M","","M","","M","","","25","","13","","","","100.21","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 05:00","2020","01","04","05:00","","M","","M","","M","","","28","","13","","","","100.19","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 06:00","2020","01","04","06:00","","M","","M","","M","","","28","","13","","","","100.21","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 07:00","2020","01","04","07:00","","M","","M","","M","","","27","","6","","","","100.25","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 08:00","2020","01","04","08:00","","M","","M","","M","","","28","","12","","","","100.28","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 09:00","2020","01","04","09:00","","M","","M","","M","","","30","","16","","","","100.27","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 10:00","2020","01","04","10:00","","M","","M","","M","","","30","","16","","","","100.27","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 11:00","2020","01","04","11:00","","M","","M","","M","","","31","","15","","","","100.26","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 12:00","2020","01","04","12:00","","M","","M","","M","","","31","","7","","","","100.18","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 13:00","2020","01","04","13:00","","M","","M","","M","","","28","","7","","","","100.16","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 14:00","2020","01","04","14:00","","M","","M","","M","","","25","","4","","","","100.14","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 15:00","2020","01","04","15:00","","M","","M","","M","","","22","","5","","","","100.16","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 16:00","2020","01","04","16:00","","M","","M","","M","","","19","","9","","","","100.12","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 17:00","2020","01","04","17:00","","M","","M","","M","","","30","","1","","","","100.02","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 18:00","2020","01","04","18:00","","M","","M","","M","","","","","0","","","","100.02","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 19:00","2020","01","04","19:00","","M","","M","","M","","","9","","5","","","","99.95","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 20:00","2020","01","04","20:00","","M","","M","","M","","","5","","9","","","","99.89","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 21:00","2020","01","04","21:00","","M","","M","","M","","","7","","7","","","","99.91","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 22:00","2020","01","04","22:00","","M","","M","","M","","","14","","12","","","","99.85","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-04 23:00","2020","01","04","23:00","","M","","M","","M","","","13","","6","","","","99.86","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 00:00","2020","01","05","00:00","","M","","M","","M","","","8","","12","","","","99.70","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 01:00","2020","01","05","01:00","","M","","M","","M","","","5","","13","","","","99.61","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 02:00","2020","01","05","02:00","","M","","M","","M","","","5","","17","","","","99.43","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 03:00","2020","01","05","03:00","","M","","M","","M","","","5","","19","","","","99.35","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 04:00","2020","01","05","04:00","","M","","M","","M","","","5","","21","","","","99.22","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 05:00","2020","01","05","05:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 06:00","2020","01","05","06:00","","M","","M","","M","","","6","","26","","","","98.88","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 07:00","2020","01","05","07:00","","M","","M","","M","","","5","","25","","","","98.79","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 08:00","2020","01","05","08:00","","M","","M","","M","","","3","","19","","","","98.73","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 09:00","2020","01","05","09:00"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 10:00","2020","01","05","10:00","","M","","M","","M","","","2","","29","","","","98.43","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 11:00","2020","01","05","11:00","","M","","M","","M","","","2","","33","","","","98.31","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 12:00","2020","01","05","12:00","","M","","M","","M","","","1","","34","","","","98.24","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 13:00","2020","01","05","13:00","","M","","M","","M","","","35","","35","","","","98.16","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 14:00","2020","01","05","14:00","","M","","M","","M","","","35","","44","","","","98.17","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 15:00","2020","01","05","15:00","","M","","M","","M","","","34","","40","","","","98.21","","","","","","NA"
"-63.42","44.61","OSBORNE HEAD DND","8204190","2020-01-05 16:00","2020","01","05","16:00"
